price,quantity,seller_inflow,buyer_outflow
1.0,2.99,2.99,3.02
1.0,2.97,2.97,2.99
1.0,2.95,2.95,2.97
1.0,2.92,2.92,2.95
1.0,2.89,2.89,2.92
1.0,3.18,3.18,2.89
1.0,3.21,3.21,3.18
1.0,3.24,3.24,3.21
1.0,3.26,3.26,3.24
1.0,3.29,3.29,3.26
1.0,3.31,3.31,3.29
1.0,3.34,3.34,3.31
1.0,3.36,3.36,3.34
1.0,3.39,3.39,3.36
1.0,3.41,3.41,3.39
1.0,3.44,3.44,3.41
1.0,3.46,3.46,3.44
1.0,3.49,3.49,3.46
1.0,3.52,3.52,3.49
1.0,3.54,3.54,3.52
1.0,3.04,3.04,3.54
1.0,2.98,2.98,3.04
1.0,2.98,2.98,2.98
1.0,2.94,2.94,2.98
1.0,2.89,2.89,2.94
1.0,2.85,2.85,2.89
1.0,2.81,2.81,2.85
1.0,2.77,2.77,2.81
1.0,2.73,2.73,2.77
1.0,2.69,2.69,2.73
1.0,2.65,2.65,2.69
1.0,2.61,2.61,2.65
1.0,2.58,2.58,2.61
1.0,2.54,2.54,2.58
1.0,2.5,2.5,2.54
1.0,2.47,2.47,2.5
1.0,2.44,2.44,2.47
1.0,2.4,2.4,2.44
1.0,2.37,2.37,2.4
1.0,2.34,2.34,2.37
1.0,2.31,2.31,2.34
1.0,2.28,2.28,2.31
1.0,2.25,2.25,2.28
1.0,2.22,2.22,2.25
1.0,2.19,2.19,2.22
1.0,2.16,2.16,2.19
1.0,2.14,2.14,2.16
1.0,2.11,2.11,2.14
1.0,2.08,2.08,2.11
1.0,2.06,2.06,2.08
1.0,2.03,2.03,2.06
1.0,2.01,2.01,2.03
1.0,1.99,1.99,2.01
1.0,1.96,1.96,1.99
1.0,1.94,1.94,1.96
1.0,1.92,1.92,1.94
1.0,1.9,1.9,1.92
1.0,1.87,1.87,1.9
1.0,1.85,1.85,1.87
1.0,1.83,1.83,1.85
1.0,1.81,1.81,1.83
1.0,1.8,1.8,1.81
1.0,1.78,1.78,1.8
1.0,1.76,1.76,1.78
1.0,1.74,1.74,1.76
1.0,1.72,1.72,1.74
1.0,1.7,1.7,1.72
1.0,1.69,1.69,1.7
1.0,1.67,1.67,1.69
1.0,1.66,1.66,1.67
1.0,1.64,1.64,1.66
1.0,1.63,1.63,1.64
1.0,1.61,1.61,1.63
1.0,1.6,1.6,1.61
1.0,1.58,1.58,1.6
1.0,1.57,1.57,1.58
1.0,1.56,1.56,1.57
1.0,1.54,1.54,1.56
1.0,1.53,1.53,1.54
1.0,1.52,1.52,1.53
1.0,1.51,1.51,1.52
